cc-d-01.02.03.01,"Ständige Wohnbevölkerung nach Staatsangehörigkeitskategorie, Geschlecht und Gemeinde, am 31.12.2024",,,,,,,,
,Provisorische Jahresergebnisse,,,,,,,,
"Kanton, Bezirk und Gemeinde",Total,,,Schweizer,,,Ausländer 1,,
,Total,Mann,Frau,Total,Mann,Frau,Total,Mann,Frau
......0544 Moosseedorf,4152,2107,2045,3143,1573,1570,1009,534,475
......0546 Münchenbuchsee,10691,5202,5489,8402,4018,4384,2289,1184,1105
......0551 Urtenen-Schönbühl,6545,3200,3345,5022,2423,2599,1523,777,746
......0553 Wiggiswil,96,45,51,88,42,46,8,3,5
......0557 Zuzwil (BE),555,258,297,538,247,291,17,11,6
......0602 Arni (BE),983,507,476,958,491,467,25,16,9
......0603 Biglen,1855,911,944,1701,837,864,154,74,80
......0605 Bowil,1293,643,650,1260,624,636,33,19,14
......0606 Brenzikofen,534,264,270,520,256,264,14,8,6
......0607 Freimettigen,453,238,215,410,211,199,43,27,16
......0608 Grosshöchstetten,4068,2008,2060,3729,1821,1908,339,187,152
......0609 Häutligen,267,135,132,261,130,131,6,5,1
......0610 Herbligen,640,321,319,610,309,301,30,12,18
......0611 Kiesen,990,476,514,919,438,481,71,38,33
......0612 Konolfingen,5484,2636,2848,4856,2330,2526,628,306,322
......0613 Landiswil,623,305,318,611,298,313,12,7,5
......0614 Linden,1275,604,671,1231,589,642,44,15,29
......0615 Mirchel,561,294,267,546,283,263,15,11,4
......0616 Münsingen,13049,6276,6773,11352,5405,5947,1697,871,826
......0617 Niederhünigen,710,345,365,694,337,357,16,8,8
......0619 Oberdiessbach,3723,1848,1875,3379,1677,1702,344,171,173
......0620 Oberthal,706,372,334,691,361,330,15,11,4
......0622 Oppligen,660,335,325,625,310,315,35,25,10
......0623 Rubigen,2893,1450,1443,2626,1307,1319,267,143,124
......0626 Walkringen,1828,923,905,1701,854,847,127,69,58
......0627 Worb,11594,5594,6000,9315,4464,4851,2279,1130,1149
......0628 Zäziwil,1665,832,833,1555,770,785,110,62,48
......0629 Oberhünigen,333,165,168,326,160,166,7,5,2
......0630 Allmendingen,532,267,265,508,256,252,24,11,13
......0632 Wichtrach,4463,2220,2243,4113,2041,2072,350,179,171
......0662 Ferenbalm,1253,603,650,1098,519,579,155,84,71
......0663 Frauenkappelen,1470,736,734,1237,613,624,233,123,110
......0665 Gurbrü,249,130,119,213,105,108,36,25,11
......0666 Kriechenwil,437,213,224,415,199,216,22,14,8
......0667 Laupen,3285,1595,1690,2705,1296,1409,580,299,281
......0668 Mühleberg,3097,1571,1526,2666,1311,1355,431,260,171
......0669 Münchenwiler,588,292,296,497,243,254,91,49,42
......0670 Neuenegg,5729,2873,2856,4740,2351,2389,989,522,467
......0671 Wileroltigen,380,197,183,329,167,162,51,30,21
......0852 Guggisberg,1493,737,756,1430,705,725,63,32,31
......0853 Rüschegg,1738,881,857,1663,837,826,75,44,31
......0855 Schwarzenburg,6794,3342,3452,6306,3090,3216,488,252,236
......0861 Belp,11715,5744,5971,9649,4677,4972,2066,1067,999
......0866 Gerzensee,1301,666,635,1211,611,600,90,55,35
......0868 Jaberg,305,153,152,296,148,148,9,5,4
......0869 Kaufdorf,1101,543,558,1017,496,521,84,47,37
......0870 Kehrsatz,4669,2288,2381,3353,1633,1720,1316,655,661
......0872 Kirchdorf (BE),1853,953,900,1730,873,857,123,80,43
......0877 Niedermuhlern,521,259,262,491,243,248,30,16,14
......0879 Riggisberg,3184,1624,1560,2885,1428,1457,299,196,103
......0880 Rüeggisberg,1744,871,873,1668,830,838,76,41,35
......0884 Toffen,2659,1307,1352,2331,1129,1202,328,178,150
......0888 Wald (BE),1198,595,603,1118,559,559,80,36,44
......0889 Thurnen,2060,994,1066,1891,908,983,169,86,83
>> Verwaltungskreis Thun,109895,53212,56683,96137,46193,49944,13758,7019,6739
......0767 Reutigen,1392,713,679,1285,653,632,107,60,47
......0770 Stocken-Höfen,1018,525,493,953,485,468,65,40,25
......0863 Burgistein,1068,527,541,1033,509,524,35,18,17
......0867 Gurzelen,876,437,439,852,427,425,24,10,14
......0883 Seftigen,2189,1045,1144,2008,948,1060,181,97,84
......0885 Uttigen,2176,1110,1066,2022,1015,1007,154,95,59
......0886 Wattenwil,3228,1564,1664,3036,1465,1571,192,99,93
......0921 Amsoldingen,834,403,431,793,383,410,41,20,21
......0922 Blumenstein,1308,673,635,1233,635,598,75,38,37
......0923 Buchholterberg,1552,779,773,1506,756,750,46,23,23
......0924 Eriz,480,239,241,469,234,235,11,5,6
......0925 Fahrni,799,401,398,777,390,387,22,11,11
......0927 Heiligenschwendi,721,344,377,643,308,335,78,36,42
......0928 Heimberg,7076,3496,3580,6122,3011,3111,954,485,469
......0929 Hilterfingen,4094,1889,2205,3651,1667,1984,443,222,221
......0931 Homberg,500,248,252,486,239,247,14,9,5
......0932 Horrenbach-Buchen,224,124,100,219,121,98,5,3,2
......0934 Oberhofen am Thunersee,2522,1225,1297,2145,1042,1103,377,183,194
......0935 Oberlangenegg,473,236,237,468,233,235,5,3,2
......0936 Pohlern,247,120,127,235,113,122,12,7,5
......0938 Sigriswil,4870,2379,2491,4273,2067,2206,597,312,285
......0939 Steffisburg,16574,7943,8631,14485,6845,7640,2089,1098,991
......0940 Teuffenthal (BE),154,70,84,153,70,83,1,.,1
......0941 Thierachern,2539,1254,1285,2390,1185,1205,149,69,80
......0942 Thun,44118,21068,23050,36643,17292,19351,7475,3776,3699
......0943 Uebeschi,707,353,354,670,335,335,37,18,19
......0944 Uetendorf,6067,2990,3077,5549,2729,2820,518,261,257
......0945 Unterlangenegg,1072,550,522,1051,542,509,21,8,13
......0946 Wachseldorn,238,119,119,229,117,112,9,2,7
......0948 Forst-Längenbühl,779,388,391,758,377,381,21,11,10
>> Verwaltungskreis Obersimmental-Saanen,16791,8432,8359,13099,6404,6695,3692,2028,1664
......0791 Boltigen,1272,640,632,1177,582,595,95,58,37
......0792 Lenk,2323,1174,1149,1973,977,996,350,197,153
......0793 St. Stephan,1326,677,649,1209,605,604,117,72,45
......0794 Zweisimmen,3053,1518,1535,2593,1265,1328,460,253,207
......0841 Gsteig,1028,519,509,766,366,400,262,153,109
......0842 Lauenen,865,404,461,743,342,401,122,62,60
......0843 Saanen,6924,3500,3424,4638,2267,2371,2286,1233,1053
>> Verwaltungskreis Frutigen-Niedersimmental,41679,20649,21030,37114,18261,18853,4565,2388,2177
......0561 Adelboden,3420,1667,1753,3046,1464,1582,374,203,171
......0562 Aeschi bei Spiez,2325,1137,1188,2145,1048,1097,180,89,91
......0563 Frutigen,7095,3491,3604,6384,3128,3256,711,363,348
......0564 Kandergrund,810,419,391,761,392,369,49,27,22
......0565 Kandersteg,1298,631,667,990,481,509,308,150,158
......0566 Krattigen,1130,561,569,1015,503,512,115,58,57
......0567 Reichenbach im Kandertal,3788,1856,1932,3542,1731,1811,246,125,121
......0761 Därstetten,865,438,427,809,411,398,56,27,29
......0762 Diemtigen,2302,1158,1144,2187,1096,1091,115,62,53
......0763 Erlenbach im Simmental,1729,863,866,1619,806,813,110,57,53
......0766 Oberwil im Simmental,845,422,423,802,401,401,43,21,22
......0768 Spiez,13337,6629,6708,11374,5576,5798,1963,1053,910
......0769 Wimmis,2735,1377,1358,2440,1224,1216,295,153,142
>> Verwaltungskreis Interlaken-Oberhasli,49143,24275,24868,38309,18614,19695,10834,5661,5173
......0571 Beatenberg,1229,633,596,937,459,478,292,174,118
......0572 Bönigen,2785,1399,1386,2426,1212,1214,359,187,172
......0573 Brienz (BE),3255,1594,1661,2739,1331,1408,516,263,253
......0574 Brienzwiler,514,258,256,440,216,224,74,42,32
......0575 Därligen,416,196,220,362,168,194,54,28,26
......0576 Grindelwald,3927,2012,1915,2741,1373,1368,1186,639,547
......0577 Gsteigwiler,436,221,215,373,190,183,63,31,32
......0578 Gündlischwand,344,170,174,265,132,133,79,38,41
......0579 Habkern,628,322,306,581,301,280,47,21,26
......0580 Hofstetten bei Brienz,529,254,275,481,224,257,48,30,18
......0581 Interlaken,6122,3022,3100,3851,1816,2035,2271,1206,1065
......0582 Iseltwald,401,196,205,352,170,182,49,26,23
......0584 Lauterbrunnen,2327,1156,1171,1593,777,816,734,379,355
......0585 Leissigen,1205,603,602,1028,517,511,177,86,91
......0586 Lütschental,239,124,115,196,97,99,43,27,16
......0587 Matten bei Interlaken,4200,2056,2144,3176,1506,1670,1024,550,474
......0588 Niederried bei Interlaken,365,172,193,306,144,162,59,28,31
......0589 Oberried am Brienzersee,481,226,255,410,196,214,71,30,41
......0590 Ringgenberg (BE),2653,1328,1325,2211,1105,1106,442,223,219
......0591 Saxeten,98,54,44,88,49,39,10,5,5
......0592 Schwanden bei Brienz,665,323,342,620,298,322,45,25,20
......0593 Unterseen,5709,2728,2981,4476,2096,2380,1233,632,601
......0594 Wilderswil,2765,1363,1402,2240,1091,1149,525,272,253
......0782 Guttannen,241,116,125,215,102,113,26,14,12
......0783 Hasliberg,1129,553,576,947,473,474,182,80,102
......0784 Innertkirchen,1079,541,538,965,493,472,114,48,66
......0785 Meiringen,4815,2376,2439,3794,1842,1952,1021,534,487
......0786 Schattenhalb,586,279,307,496,236,260,90,43,47
- Luzern,437838,218790,219048,343610,168819,174791,94228,49971,44257
>> Wahlkreis Luzern-Stadt,86217,41930,44287,62517,29680,32837,23700,12250,11450
......1061 Luzern,86217,41930,44287,62517,29680,32837,23700,12250,11450
>> Wahlkreis Luzern-Land,111822,55350,56472,87167,42406,44761,24655,12944,11711
......1051 Adligenswil,5617,2754,2863,4861,2372,2489,756,382,374
......1052 Buchrain,6807,3403,3404,5214,2540,2674,1593,863,730
......1053 Dierikon,1685,848,837,1334,645,689,351,203,148
......1054 Ebikon,14788,7316,7472,10923,5293,5630,3865,2023,1842
......1055 Gisikon,1515,764,751,1149,572,577,366,192,174
......1056 Greppen,1219,622,597,964,495,469,255,127,128
......1057 Honau,579,293,286,472,240,232,107,53,54
......1058 Horw,15813,7689,8124,12869,6172,6697,2944,1517,1427
......1059 Kriens,30005,14767,15238,22662,10885,11777,7343,3882,3461
......1062 Malters,7865,3998,3867,6626,3308,3318,1239,690,549
......1063 Meggen,7794,3764,4030,6306,3042,3264,1488,722,766
......1064 Meierskappel,1594,804,790,1266,642,624,328,162,166
......1065 Root,6065,3069,2996,4296,2126,2170,1769,943,826
......1066 Schwarzenberg,1817,914,903,1667,831,836,150,83,67
......1067 Udligenswil,2475,1234,1241,2144,1058,1086,331,176,155
......1068 Vitznau,1476,762,714,1030,529,501,446,233,213
......1069 Weggis,4708,2349,2359,3384,1656,1728,1324,693,631
>> Wahlkreis Hochdorf,77291,39034,38257,57904,28649,29255,19387,10385,9002
......1021 Aesch (LU),1453,744,709,1208,610,598,245,134,111
......1023 Ballwil,2841,1443,1398,2558,1291,1267,283,152,131
......1024 Emmen,32609,16553,16056,20049,9801,10248,12560,6752,5808
......1025 Ermensee,1043,559,484,882,473,409,161,86,75
......1026 Eschenbach (LU),3779,1875,1904,3256,1600,1656,523,275,248
......1030 Hitzkirch,6085,3049,3036,4980,2488,2492,1105,561,544
......1031 Hochdorf,10066,5056,5010,7721,3792,3929,2345,1264,1081
......1032 Hohenrain,2462,1271,1191,2216,1146,1070,246,125,121
......1033 Inwil,2924,1475,1449,2506,1230,1276,418,245,173
......1037 Rain,3314,1663,1651,3024,1520,1504,290,143,147
......1039 Römerswil,1788,884,904,1606,783,823,182,101,81
......1040 Rothenburg,7858,3911,3947,6915,3412,3503,943,499,444
......1041 Schongau,1069,551,518,983,503,480,86,48,38
>> Wahlkreis Sursee,80141,40384,39757,67844,33752,34092,12297,6632,5665
......1081 Beromünster,6829,3445,3384,5888,2891,2997,941,554,387
......1082 Büron,2764,1431,1333,2002,1017,985,762,414,348
......1083 Buttisholz,3486,1806,1680,3006,1533,1473,480,273,207
......1084 Eich,1750,880,870,1592,799,793,158,81,77
......1085 Geuensee,2941,1481,1460,2264,1131,1133,677,350,327
......1086 Grosswangen,3523,1789,1734,3000,1501,1499,523,288,235
......1088 Hildisrieden,2502,1248,1254,2218,1100,1118,284,148,136
......1089 Knutwil,2516,1267,1249,2183,1095,1088,333,172,161
......1091 Mauensee,1505,772,733,1362,701,661,143,71,72
......1093 Neuenkirch,7229,3655,3574,6307,3175,3132,922,480,442
......1094 Nottwil,4118,2057,2061,3577,1773,1804,541,284,257
......1095 Oberkirch,5106,2557,2549,4477,2215,2262,629,342,287
......1097 Rickenbach (LU),3883,1957,1926,3038,1490,1548,845,467,378
......1098 Ruswil,7537,3848,3689,6640,3332,3308,897,516,381
......1099 Schenkon,3115,1564,1551,2880,1444,1436,235,120,115
......1100 Schlierbach,1008,525,483,916,479,437,92,46,46
......1102 Sempach,4380,2141,2239,3960,1916,2044,420,225,195
......1103 Sursee,11027,5433,5594,8993,4386,4607,2034,1047,987
......1104 Triengen,4922,2528,2394,3541,1774,1767,1381,754,627
>> Wahlkreis Willisau,57999,29638,28361,46994,23601,23393,11005,6037,4968
......1121 Alberswil,735,368,367,624,303,321,111,65,46
......1122 Altbüron,1014,499,515,881,436,445,133,63,70
......1123 Altishofen,2055,1061,994,1649,823,826,406,238,168
......1125 Dagmersellen,6002,3106,2896,4873,2450,2423,1129,656,473
......1127 Egolzwil,1664,852,812,1422,734,688,242,118,124
......1128 Ettiswil,2904,1447,1457,2534,1239,1295,370,208,162
......1129 Fischbach,724,380,344,628,328,300,96,52,44
......1131 Grossdietwil,919,468,451,777,391,386,142,77,65
......1132 Hergiswil bei Willisau,1944,1003,941,1777,909,868,167,94,73
......1135 Luthern,1240,639,601,1151,591,560,89,48,41
......1136 Menznau,3149,1667,1482,2709,1420,1289,440,247,193
......1137 Nebikon,2940,1507,1433,1913,947,966,1027,560,467
......1139 Pfaffnau,2777,1419,1358,2236,1098,1138,541,321,220
......1140 Reiden,7664,3976,3688,5409,2742,2667,2255,1234,1021
......1142 Roggliswil,790,378,412,727,347,380,63,31,32
......1143 Schötz,4959,2505,2454,3877,1925,1952,1082,580,502
......1145 Ufhusen,919,480,439,849,441,408,70,39,31
......1146 Wauwil,2656,1313,1343,2047,1009,1038,609,304,305
......1147 Wikon,1502,755,747,1198,580,618,304,175,129
......1150 Zell (LU),2204,1118,1086,1887,960,927,317,158,159
......1151 Willisau,9238,4697,4541,7826,3928,3898,1412,769,643
>> Wahlkreis Entlebuch,24368,12454,11914,21184,10731,10453,3184,1723,1461
......1001 Doppleschwand,824,421,403,779,398,381,45,23,22
......1002 Entlebuch,3420,1725,1695,3083,1551,1532,337,174,163
......1004 Flühli,1857,992,865,1580,837,743,277,155,122
......1005 Hasle (LU),1842,950,892,1712,879,833,130,71,59
......1007 Romoos,661,337,324,626,321,305,35,16,19
......1008 Schüpfheim,4280,2115,2165,3941,1948,1993,339,167,172
......1009 Werthenstein,2180,1121,1059,1797,900,897,383,221,162
......1010 Escholzmatt-Marbach,4559,2339,2220,4204,2134,2070,355,205,150
......1107 Wolhusen,4745,2454,2291,3462,1763,1699,1283,691,592
- Uri,38265,19526,18739,32421,16296,16125,5844,3230,2614
>> Kanton Uri,38265,19526,18739,32421,16296,16125,5844,3230,2614
......1201 Altdorf (UR),10457,5174,5283,8430,4082,4348,2027,1092,935
......1202 Andermatt,1578,847,731,1104,562,542,474,285,189
......1203 Attinghausen,1788,932,856,1684,875,809,104,57,47
......1205 Bürglen (UR),3901,1958,1943,3615,1809,1806,286,149,137
......1206 Erstfeld,3956,2040,1916,2997,1513,1484,959,527,432
......1207 Flüelen,2071,1079,992,1701,876,825,370,203,167
......1208 Göschenen,457,251,206,324,164,160,133,87,46
......1209 Gurtnellen,487,265,222,438,240,198,49,25,24
......1210 Hospental,180,100,80,133,71,62,47,29,18
......1211 Isenthal,459,233,226,448,229,219,11,4,7
......1212 Realp,149,84,65,119,67,52,30,17,13
......1213 Schattdorf,5500,2823,2677,4885,2491,2394,615,332,283
......1214 Seedorf (UR),2058,1025,1033,1882,921,961,176,104,72
......1215 Seelisberg,735,379,356,609,310,299,126,69,57
......1216 Silenen,2036,1051,985,1888,962,926,148,89,59
......1217 Sisikon,395,214,181,276,150,126,119,64,55
......1218 Spiringen,881,457,424,855,444,411,26,13,13
......1219 Unterschächen,746,384,362,736,378,358,10,6,4
......1220 Wassen,431,230,201,297,152,145,134,78,56
- Schwyz,168906,86680,82226,128245,64747,63498,40661,21933,18728
>> Bezirk Einsiedeln,16530,8275,8255,13510,6705,6805,3020,1570,1450
......1301 Einsiedeln,16530,8275,8255,13510,6705,6805,3020,1570,1450
>> Bezirk Gersau,2461,1276,1185,1730,899,831,731,377,354
......1311 Gersau,2461,1276,1185,1730,899,831,731,377,354
>> Bezirk Höfe,30216,16114,14102,21363,11230,10133,8853,4884,3969
......1321 Feusisberg,5598,3031,2567,4129,2215,1914,1469,816,653
......1322 Freienbach,17027,9025,8002,11691,6084,5607,5336,2941,2395
......1323 Wollerau,7591,4058,3533,5543,2931,2612,2048,1127,921
>> Bezirk Küssnacht (SZ),14146,7259,6887,10397,5230,5167,3749,2029,1720
......1331 Küssnacht (SZ),14146,7259,6887,10397,5230,5167,3749,2029,1720
>> Bezirk March,46599,23815,22784,34464,17305,17159,12135,6510,5625
......1341 Altendorf,7425,3820,3605,5719,2906,2813,1706,914,792
......1342 Galgenen,5463,2797,2666,4229,2129,2100,1234,668,566
......1343 Innerthal,191,92,99,176,83,93,15,9,6
......1344 Lachen,9525,4774,4751,6464,3210,3254,3061,1564,1497
......1345 Reichenburg,4153,2166,1987,3065,1563,1502,1088,603,485
......1346 Schübelbach,9754,5035,4719,6493,3227,3266,3261,1808,1453
......1347 Tuggen,3470,1759,1711,2798,1409,1389,672,350,322
......1348 Vorderthal,1035,561,474,915,492,423,120,69,51
......1349 Wangen (SZ),5583,2811,2772,4605,2286,2319,978,525,453
>> Bezirk Schwyz,58954,29941,29013,46781,23378,23403,12173,6563,5610
......1361 Alpthal,632,317,315,567,287,280,65,30,35
......1362 Arth,12523,6381,6142,8728,4341,4387,3795,2040,1755
......1363 Illgau,821,420,401,782,399,383,39,21,18
......1364 Ingenbohl,9546,4668,4878,7364,3520,3844,2182,1148,1034
......1365 Lauerz,1149,595,554,987,515,472,162,80,82
......1366 Morschach,1378,754,624,1026,549,477,352,205,147
......1367 Muotathal,3583,1851,1732,3296,1700,1596,287,151,136
......1368 Oberiberg,916,486,430,792,409,383,124,77,47
......1369 Riemenstalden,85,43,42,81,41,40,4,2,2
......1370 Rothenthurm,2595,1337,1258,2135,1095,1040,460,242,218
......1371 Sattel,2066,1091,975,1739,909,830,327,182,145
......1372 Schwyz,16445,8317,8128,12876,6382,6494,3569,1935,1634
......1373 Steinen,3774,1902,1872,3352,1669,1683,422,233,189
......1374 Steinerberg,965,505,460,861,449,412,104,56,48
......1375 Unteriberg,2476,1274,1202,2195,1113,1082,281,161,120
- Obwalden,39660,20047,19613,32903,16372,16531,6757,3675,3082
>> Kanton Obwalden,39660,20047,19613,32903,16372,16531,6757,3675,3082
......1401 Alpnach,6511,3328,3183,5321,2649,2672,1190,679,511
......1402 Engelberg,4415,2289,2126,3077,1564,1513,1338,725,613
......1403 Giswil,3988,2011,1977,3406,1723,1683,582,288,294
......1404 Kerns,6514,3295,3219,5728,2855,2873,786,440,346
......1405 Lungern,2072,1057,1015,1825,913,912,247,144,103
......1406 Sachseln,5299,2597,2702,4608,2242,2366,691,355,336
......1407 Sarnen,10861,5470,5391,8938,4426,4512,1923,1044,879
- Nidwalden,45343,23203,22140,37269,18853,18416,8074,4350,3724
>> Kanton Nidwalden,45343,23203,22140,37269,18853,18416,8074,4350,3724
......1501 Beckenried,3713,1872,1841,3199,1604,1595,514,268,246
......1502 Buochs,5482,2796,2686,4534,2296,2238,948,500,448
......1503 Dallenwil,1871,977,894,1671,873,798,200,104,96
......1504 Emmetten,1668,879,789,1342,707,635,326,172,154
......1505 Ennetbürgen,5326,2722,2604,4284,2171,2113,1042,551,491
......1506 Ennetmoos,2338,1192,1146,2076,1038,1038,262,154,108
......1507 Hergiswil (NW),6295,3347,2948,4710,2475,2235,1585,872,713
......1508 Oberdorf (NW),3099,1555,1544,2776,1378,1398,323,177,146
......1509 Stans,8508,4244,4264,6976,3421,3555,1532,823,709
......1510 Stansstad,4922,2517,2405,3846,1929,1917,1076,588,488
......1511 Wolfenschiessen,2121,1102,1019,1855,961,894,266,141,125
- Glarus,42364,21408,20956,31064,15310,15754,11300,6098,5202
>> Kanton Glarus,42364,21408,20956,31064,15310,15754,11300,6098,5202
......1630 Glarus Nord,19808,10070,9738,14216,7007,7209,5592,3063,2529
......1631 Glarus Süd,9676,4929,4747,7760,3897,3863,1916,1032,884
......1632 Glarus,12880,6409,6471,9088,4406,4682,3792,2003,1789
- Zug,133723,67753,65970,92985,46114,46871,40738,21639,19099
>> Kanton Zug,133723,67753,65970,92985,46114,46871,40738,21639,19099
......1701 Baar,24998,12650,12348,17137,8469,8668,7861,4181,3680
......1702 Cham,18269,9229,9040,13217,6551,6666,5052,2678,2374
......1703 Hünenberg,8971,4513,4458,7154,3566,3588,1817,947,870
......1704 Menzingen,4700,2353,2347,3625,1792,1833,1075,561,514
......1705 Neuheim,2527,1317,1210,1856,951,905,671,366,305
......1706 Oberägeri,6576,3275,3301,4531,2240,2291,2045,1035,1010
......1707 Risch,11674,5973,5701,8399,4287,4112,3275,1686,1589
......1708 Steinhausen,10398,5202,5196,7559,3676,3883,2839,1526,1313
......1709 Unterägeri,9493,4747,4746,6886,3362,3524,2607,1385,1222
......1710 Walchwil,3991,2058,1933,2540,1297,1243,1451,761,690
......1711 Zug,32126,16436,15690,20081,9923,10158,12045,6513,5532
- Fribourg / Freiburg,346589,173565,173024,258902,127038,131864,87687,46527,41160
>> District de la Broye,36567,18349,18218,28684,14096,14588,7883,4253,3630
......2008 Châtillon (FR),528,256,272,487,236,251,41,20,21
......2011 Cugy (FR),2029,1023,1006,1604,784,820,425,239,186
......2016 Fétigny,1283,646,637,1043,506,537,240,140,100
......2022 Gletterens,1161,593,568,985,503,482,176,90,86
......2025 Lully (FR),1226,581,645,1003,471,532,223,110,113
......2027 Ménières,445,216,229,368,182,186,77,34,43
......2029 Montagny (FR),3037,1534,1503,2363,1166,1197,674,368,306
......2035 Nuvilly,498,263,235,417,218,199,81,45,36
......2038 Prévondavaux,113,63,50,96,57,39,17,6,11
......2041 Saint-Aubin (FR),2030,1024,1006,1537,763,774,493,261,232
......2043 Sévaz,318,162,156,256,128,128,62,34,28
......2044 Surpierre,1219,628,591,1042,527,515,177,101,76
......2045 Vallon,532,271,261,417,202,215,115,69,46
......2050 Les Montets,1572,791,781,1294,639,655,278,152,126
......2051 Delley-Portalban,1320,659,661,1101,538,563,219,121,98
......2053 Belmont-Broye,6147,3097,3050,4424,2180,2244,1723,917,806
......2054 Estavayer,10622,5298,5324,8133,3960,4173,2489,1338,1151
......2055 Cheyres-Châbles,2487,1244,1243,2114,1036,1078,373,208,165
>> District de la Glâne,27016,13552,13464,20762,10267,10495,6254,3285,2969
......2061 Auboranges,281,140,141,260,132,128,21,8,13
......2063 Billens-Hennens,903,454,449,716,356,360,187,98,89
......2066 Chapelle (Glâne),341,166,175,315,148,167,26,18,8
......2067 Le Châtelard,364,200,164,328,178,150,36,22,14
......2068 Châtonnaye,859,425,434,677,335,342,182,90,92
......2072 Ecublens (FR),398,197,201,328,158,170,70,39,31
......2079 Grangettes,212,112,100,186,96,90,26,16,10
......2086 Massonnens,596,306,290,513,261,252,83,45,38
......2087 Mézières (FR),1159,565,594,948,447,501,211,118,93
......2089 Montet (Glâne),554,282,272,437,222,215,117,60,57
......2096 Romont (FR),6123,3033,3090,3427,1639,1788,2696,1394,1302
......2097 Rue,1617,827,790,1352,682,670,265,145,120
......2099 Siviriez,2675,1351,1324,2097,1046,1051,578,305,273
......2102 Ursy,3501,1727,1774,2817,1373,1444,684,354,330
......2113 Vuisternens-devant-Romont,2383,1200,1183,2123,1062,1061,260,138,122
......2114 Villorsonnens,1546,775,771,1362,677,685,184,98,86
......2115 Torny,1095,551,544,929,459,470,166,92,74
......2117 Villaz,2409,1241,1168,1947,996,951,462,245,217
>> District de la Gruyère,62402,31232,31170,43812,21328,22484,18590,9904,8686
......2121 Haut-Intyamon,1774,905,869,1441,730,711,333,175,158
......2122 Pont-en-Ogoz,2038,1053,985,1704,870,834,334,183,151
......2123 Botterens,758,395,363,620,322,298,138,73,65
......2124 Broc,2848,1384,1464,1869,868,1001,979,516,463
......2125 Bulle,27098,13354,13744,15173,7126,8047,11925,6228,5697
......2128 Châtel-sur-Montsalvens,358,183,175,283,140,143,75,43,32
......2129 Corbières,1041,520,521,888,445,443,153,75,78
......2130 Crésuz,486,252,234,400,210,190,86,42,44
......2131 Echarlens,846,423,423,713,346,367,133,77,56
......2134 Grandvillard,902,457,445,778,393,385,124,64,60
......2135 Gruyères,2339,1212,1127,1782,886,896,557,326,231
......2137 Hauteville,744,377,367,642,319,323,102,58,44
......2138 Jaun,657,330,327,614,308,306,43,22,21
......2140 Marsens,2130,1092,1038,1751,888,863,379,204,175
......2143 Morlon,771,366,405,659,309,350,112,57,55
......2145 Le Pâquier (FR),1386,721,665,1111,556,555,275,165,110
......2147 Pont-la-Ville,605,314,291,531,272,259,74,42,32
......2148 Riaz,2932,1437,1495,2352,1117,1235,580,320,260
......2149 La Roche,1959,984,975,1626,793,833,333,191,142
......2152 Sâles,1467,735,732,1317,648,669,150,87,63
......2153 Sorens,1103,568,535,976,498,478,127,70,57
......2155 Vaulruz,1129,575,554,922,474,448,207,101,106
......2160 Vuadens,2578,1307,1271,2074,1014,1060,504,293,211
......2162 Bas-Intyamon,1726,887,839,1368,675,693,358,212,146
......2163 Val-de-Charmey,2727,1401,1326,2218,1121,1097,509,280,229
>> District de la Sarine,112778,56275,56503,78316,38059,40257,34462,18216,16246
......2173 Autigny,840,431,409,691,350,341,149,81,68
......2174 Avry,1949,963,986,1503,732,771,446,231,215
......2175 Belfaux,3452,1718,1734,2232,1063,1169,1220,655,565
......2177 Chénens,886,433,453,715,344,371,171,89,82
......2183 Corminboeuf,3029,1518,1511,2527,1261,1266,502,257,245
......2186 Cottens (FR),1529,765,764,1237,615,622,292,150,142
......2194 Ferpicloz,248,124,124,203,101,102,45,23,22
......2196 Fribourg,39144,19542,19602,23789,11375,12414,15355,8167,7188
......2197 Givisiez,3457,1726,1731,2009,964,1045,1448,762,686
......2198 Granges-Paccot,3983,2052,1931,2538,1275,1263,1445,777,668
......2200 Grolley,2113,1051,1062,1571,770,801,542,281,261
......2206 Marly,9234,4471,4763,6243,2950,3293,2991,1521,1470
......2208 Matran,1898,939,959,1407,684,723,491,255,236
......2211 Neyruz (FR),2869,1436,1433,2262,1114,1148,607,322,285
......2216 Pierrafortscha,150,79,71,134,70,64,16,9,7
......2217 Ponthaux,788,415,373,701,363,338,87,52,35
......2220 Le Mouret,3354,1684,1670,2760,1372,1388,594,312,282
......2226 Treyvaux,1642,829,813,1409,693,716,233,136,97
......2228 Villars-sur-Glâne,12506,6137,6369,8108,3834,4274,4398,2303,2095
......2230 Villarsel-sur-Marly,69,37,32,54,27,27,15,10,5
......2233 Hauterive (FR),2694,1349,1345,2234,1127,1107,460,222,238
......2234 La Brillaz,2207,1120,1087,1892,952,940,315,168,147
......2235 La Sonnaz,1458,740,718,1228,610,618,230,130,100
......2236 Gibloux,8393,4241,4152,6813,3371,3442,1580,870,710
......2237 Prez,2465,1252,1213,2035,1025,1010,430,227,203
......2238 Bois-d'Amont,2421,1223,1198,2021,1017,1004,400,206,194
......2239 Grolley-Ponthaux,2901,,,,,,,,
>> Bezirk See / District du Lac,39520,19866,19654,30282,14933,15349,9238,4933,4305
......2250 Courgevaux,1456,745,711,1033,523,510,423,222,201
